animal,fov,treatment,stimulated,site_x_px,site_y_px,pixel_size_um,n_cells
A01,A01_F1,Control,0,130.50859308035467,124.59338236323242,0.75,40
A01,A01_F2,Control,0,122.84660107117425,123.7533144167389,0.75,40
A02,A02_F1,Control,0,139.4686178183567,139.40762770949294,0.75,40
A02,A02_F2,Control,0,135.56185171798182,119.40172101659167,0.75,40
A03,A03_F1,Control,0,129.4798405097815,130.98340217859163,0.75,40
A03,A03_F2,Control,0,141.28469811680094,125.93209799163859,0.75,40
A04,A04_F1,Control,0,125.87814071188315,125.4092737252819,0.75,40
A04,A04_F2,Control,0,125.11156095400699,130.28536114835313,0.75,40
A05,A05_F1,Control,0,124.99896122063467,129.8059743919271,0.75,40
A05,A05_F2,Control,0,122.503534426609,130.85038044295823,0.75,40
A06,A06_F1,Control,0,133.931803737973,136.1803884477349,0.75,40
A06,A06_F2,Control,0,125.36348229201684,127.98568013342994,0.75,40
A07,A07_F1,Control,0,124.35324200101213,140.42307853476345,0.75,40
A07,A07_F2,Control,0,131.26355385719958,120.70485370108408,0.75,40
A08,A08_F1,Stimulation,1,135.62371684497123,131.2049038756035,0.75,40
A08,A08_F2,Stimulation,1,129.16895938997223,128.9058404314608,0.75,40
A09,A09_F1,Stimulation,1,122.69335008937983,125.47419182451995,0.75,40
A09,A09_F2,Stimulation,1,125.73775572155951,126.664148384637,0.75,40
A10,A10_F1,Stimulation,1,126.28562078717431,121.66614308177684,0.75,40
A10,A10_F2,Stimulation,1,130.46624567014896,128.8461125364868,0.75,40
A11,A11_F1,Stimulation,1,127.06695132110843,134.86256166586267,0.75,40
A11,A11_F2,Stimulation,1,130.83980297231125,128.60556263263376,0.75,40
A12,A12_F1,Stimulation,1,119.7514244093287,126.8257730257895,0.75,40
A12,A12_F2,Stimulation,1,125.17012005430732,134.31543690868435,0.75,40
A13,A13_F1,Stimulation,1,127.72406775902714,145.18713965291246,0.75,40
A13,A13_F2,Stimulation,1,125.74391269790732,117.00248795267976,0.75,40
A14,A14_F1,Stimulation,1,132.64722590064417,131.19953357259567,0.75,40
A14,A14_F2,Stimulation,1,133.88906722102982,125.48517724170189,0.75,40
